year,kind,rating,vote,runtime,genre1,country1,language1,cast1,cast2,director1,writer1
1998.0,0,5.5,529.0,90.0,8,10,16,1818,1110,3467,4168
2004.0,4,8.1,63182.0,182.0,0,10,16,2344,4551,4207,4031
1994.0,1,5.9,296.0,30.0,0,27,7,1408,955,1857,2256
2003.0,1,7.9,9346.0,99.0,6,62,16,4837,47,2329,5105
1986.0,1,5.5,147.0,50.0,6,62,16,4745,4967,2257,418
1994.0,7,6.2,41.0,113.0,6,10,16,3045,5317,1740,4457
1992.0,1,7.5,1135.0,52.0,6,62,16,3594,4794,2673,5105
1999.0,1,7.1,23026.0,173.0,4,61,16,1825,5368,2993,2063
2001.0,1,7.1,6262.0,87.0,4,1,54,3267,2004,2427,2971
1999.0,3,7.4,116.0,86.0,6,62,16,3680,5776,2594,1074
2004.0,1,6.3,10247.0,183.0,7,61,16,1079,4988,3442,1878
2001.0,7,6.7,23.0,95.0,14,62,16,4347,5897,4207,5105
1994.0,1,6.9,1079.0,93.0,7,23,20,1977,1188,658,929
2002.0,1,7.2,1086.0,110.0,6,62,16,27,5561,1483,1774
1991.0,1,4.2,1143.0,60.0,0,58,39,845,2500,698,736
1984.0,3,5.1,1531.0,360.0,13,62,16,4097,2640,4091,3973
2000.0,1,4.6,1381.0,54.0,13,10,16,18,2873,2502,3936
2003.0,7,8.8,803.0,87.0,6,7,16,4187,1869,797,5105
2005.0,3,8.0,307.0,30.0,6,62,16,1439,3414,3333,466
2003.0,1,4.8,306.0,77.0,4,27,7,1408,5741,4065,1817
1984.0,2,8.3,2066.0,88.0,7,61,16,4711,1930,4207,3695
1954.0,1,8.6,328689.0,170.0,0,37,33,4808,5361,69,93
2005.0,7,8.1,54.0,60.0,6,62,16,1438,1255,2675,5105
1998.0,1,7.9,3101.0,95.0,7,30,26,112,4521,2460,3004
2001.0,4,7.6,104.0,94.0,2,37,33,3247,2108,4207,3363
1999.0,1,6.9,350.0,50.0,3,61,16,3630,3366,3810,4573
1994.0,0,7.9,2648.0,94.0,0,61,16,4309,11,3943,1359
